,,,,,,,,,
Theme: Society,,,,,,,,,
Subject: Public Safety,,,,,,,,,
Topic: Crimes and Offences,,,,,,,,,
"Table Title: Selected Major Offences Recorded By Neighbourhood Police Centre (NPC), Annual",,,,,,,,,
,,,,,,,,,
Data last updated: 20/02/2026,,,,,,,,,
Source: SINGAPORE POLICE FORCE,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Number
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 
Central Police Division - Total,308,263,299,326,230,216,304,347,313
  Robbery,7,0,3,4,7,3,8,17,14
  Housebreaking,17,17,13,20,25,29,29,24,18
  Snatch Theft,0,3,1,4,0,5,5,15,10
  Theft Of Motor Vehicle,4,5,5,10,8,3,6,7,17
  Outrage Of Modesty,280,238,277,288,190,176,256,284,254
Central Police Division - Bukit Merah East NPC,78,53,66,76,65,60,73,97,89
  Robbery,1,0,0,2,1,2,3,2,2
  Housebreaking,5,1,4,5,9,12,13,12,7
  Snatch Theft,0,1,0,2,0,1,0,8,3
  Theft Of Motor Vehicle,0,2,1,4,3,0,1,1,6
  Outrage Of Modesty,72,49,61,63,52,45,56,74,71
Central Police Division - Marina Bay NPC,146,137,158,152,90,77,147,156,134
  Robbery,2,0,1,1,3,0,1,5,4
  Housebreaking,8,11,5,8,7,7,6,4,5
  Snatch Theft,0,0,0,1,0,3,1,3,0
  Theft Of Motor Vehicle,1,0,1,3,2,1,1,3,6
  Outrage Of Modesty,135,126,151,139,78,66,138,141,119
Central Police Division - Rochor NPC,84,70,73,96,72,76,84,94,89
  Robbery,4,0,2,1,3,1,4,10,8
  Housebreaking,4,5,4,7,9,10,10,8,6
  Snatch Theft,0,2,1,1,0,1,4,4,7
  Theft Of Motor Vehicle,3,3,3,3,3,2,4,3,5
  Outrage Of Modesty,73,60,63,84,57,62,62,69,63
Central Police Division - Unknown NPC,0,3,2,2,3,3,0,0,0
  Robbery,0,0,0,0,0,0,0,0,0
  Housebreaking,0,0,0,0,0,0,0,0,0
  Snatch Theft,0,0,0,0,0,0,0,0,0
  Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0
  Outrage Of Modesty,0,3,2,2,3,3,0,0,0
Clementi Police Division - Total,179,207,153,169,190,203,231,213,244
  Robbery,2,1,0,2,2,4,2,3,4
  Housebreaking,15,17,12,7,11,32,33,32,22
  Snatch Theft,1,1,0,0,1,2,4,4,7
  Theft Of Motor Vehicle,6,13,6,11,7,9,4,8,15
  Outrage Of Modesty,155,175,135,149,169,156,188,166,196
Clementi Police Division - Bukit Merah West NPC,52,55,33,43,41,54,52,52,64
  Robbery,1,0,0,1,0,2,1,1,0
  Housebreaking,4,3,5,3,4,16,12,5,5
  Snatch Theft,1,1,0,0,0,0,1,0,4
  Theft Of Motor Vehicle,1,5,2,2,5,1,1,2,3
  Outrage Of Modesty,45,46,26,37,32,35,37,44,52
Clementi Police Division - Clementi NPC,34,32,31,31,32,43,48,40,50
  Robbery,1,0,0,1,0,0,0,2,1
  Housebreaking,2,4,1,1,0,9,6,8,7
  Snatch Theft,0,0,0,0,0,2,1,2,1
  Theft Of Motor Vehicle,3,2,1,4,2,1,3,0,4
  Outrage Of Modesty,28,26,29,25,30,31,38,28,37
Clementi Police Division - Jurong East NPC,51,50,45,52,45,46,62,56,64
  Robbery,0,0,0,0,2,1,0,0,2
  Housebreaking,1,2,4,0,3,5,5,8,3
  Snatch Theft,0,0,0,0,1,0,0,0,1
  Theft Of Motor Vehicle,1,3,1,4,0,5,0,3,3
  Outrage Of Modesty,49,45,40,48,39,35,57,45,55
Clementi Police Division - Queenstown NPC,42,70,43,43,71,60,69,65,66
  Robbery,0,1,0,0,0,1,1,0,1
  Housebreaking,8,8,2,3,4,2,10,11,7
  Snatch Theft,0,0,0,0,0,0,2,2,1
  Theft Of Motor Vehicle,1,3,2,1,0,2,0,3,5
  Outrage Of Modesty,33,58,39,39,67,55,56,49,52
Clementi Police Division - Unknown NPC,0,0,1,0,1,0,0,0,0
  Robbery,0,0,0,0,0,0,0,0,0
  Housebreaking,0,0,0,0,0,0,0,0,0
  Snatch Theft,0,0,0,0,0,0,0,0,0
